discountPrice,bookID,author,bookName,number,press,price
46.80,11549140,尤瓦尔·赫拉利,人类简史 从动物到上帝, 23 ,中信出版社,68.00
21.00,11880708,晚情,做一个刚刚好的女子：不攀附，不将就, 24 ,青岛出版社,35.00
19.90,10701728,商务印务馆,新华字典（双色本 第11版）, 25 ,商务印书馆,24.90
35.80,11543299,蔡康永,蔡康永的说话之道（套装共2册）, 26 ,湖南文艺出版社,65.00
25.30,12031447,汪开虎,星火英语 英语四级真题 2017.6新题型笔试+口试听力强化版 艾考黑旋风试卷  ..., 27 ,上海交通大学出版社,42.80
22.60,11276306,凌茜,不忘初心，方得始终, 28 ,长江文艺出版社,32.80
36.70,12095404,马薇薇,好好说话：新鲜有趣的话术精进技巧, 29 ,中信出版集团,49.00
18.00,10162330,罗广斌,红岩, 30 ,中国青年出版社,26.00
22.80,11143993,安托万·德·圣埃克苏佩里,小王子（法国“圣埃克苏佩里基金会”官方认可简体中文译本）, 31 ,天津人民出版社,32.00
29.00,12119950,贾平凹,贾平凹作品：游戏人间, 32 ,百花洲文艺出版社,42.00
16.40,11018526,马克·李维,偷影子的人（随书附精美卡片）, 33 ,湖南文艺出版社,29.80
55.00,10924046,路遥,平凡的世界（套装共3册）, 34 ,北京十月文艺出版社,79.80
22.00,11967827,佐佐木圭一,所谓情商高，就是会说话, 35 ,北京联合出版公司,32.00
23.70,10658646,加西亚·马尔克斯,百年孤独, 36 ,南海出版公司,39.50
72.00,11236866,英国快乐瓢虫出版公司,小猪佩奇（套装全10册）, 37 ,安徽少年儿童出版社,120.00
51.00,11835389,果麦,给孩子读诗, 38 ,浙江文艺出版社,68.00
21.70,11286076,林特特,以自己喜欢的方式过一生, 39 ,江苏文艺出版社,32.80
29.80,12013201,[英[查尔斯·菲利普斯,如何进行快速思考, 40 ,北京时代华文书局,35.00
34.40,11569295,史蒂芬·柯维,高效能人士的七个习惯（25周年纪念版）, 41 ,中国青年出版社,68.00
51.00,12125924,【以色列】尤瓦尔·赫拉利,人类简史：从动物到上帝（新版）, 42 ,中信出版集团,68.00
87.20,11987633,中国社会科学院语言研究所词典编辑室,现代汉语词典（第7版）, 43 ,商务印书馆,109.00
19.10,10189974,海谚,唐诗三百首 （儿童版·注音·彩图）（随书附赠精美光盘）/海豚传媒, 44 ,上海人民美术出版社,29.80
33.60,11271547,蒲公英工作室,0-3岁婴儿睡前故事（套装共4册）, 45 ,北方妇女儿童出版社,67.20
23.80,10305659,奥蒙德·麦吉尔,催眠术圣经, 46 ,吉林文史出版社,39.80
23.50,12143306,唐七,四幕戏·结, 47 ,湖南文艺出版社,39.80
